id,code,name,user_type_id/id,tax_ids/id,currency_id/id,reconcile,deprecated
__setup__.account_account_meteotest_2970,2970,Gewinnvortrag,account.data_account_type_equity,,,False,False
__setup__.account_account_meteotest_2979,2979,Jahresgewinn,account.data_account_type_equity,,,False,False
__setup__.account_account_meteotest_2980,2980,Eigene Anteilscheine,account.data_account_type_equity,,,False,False
__setup__.account_account_meteotest_3000,3000,Produktionserlöse,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3009,3009,Erlösminderungen,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3200,3200,Handelserlöse,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3400,3400,Dienstleistungsertrag 8%,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3401,3401,Leistungen im Ausland 0%,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3402,3402,Forschungsbeträge/Subv. 0%,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3403,3403,Referententätigkeiten 0%,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3407,3407,Bruttoerlöse aus Nebenleistungen,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3408,3408,Bestandesänderungen Forderungen,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3495,3495,"Verluste Forderungen, Veränderung WB",account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3496,3496,Kursdifferenzen,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3497,3497,"Rabatte, Skonto",account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3600,3600,Übrige Erlöse aus Lieferungen und Leistungen,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3700,3700,Eigenleistungen,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3710,3710,Eigenverbrauch,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3800,3800,Erlösminderungen,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3801,3801,Rabais et réduction de prix,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3802,3802,Ristournes,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3803,3803,Commissions de tiers,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3804,3804,Frais d'encaissement,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3805,3805,"Verluste Forderungen (Debitoren), Veränderung Delkredere",account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3806,3806,Différences de change,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3807,3807,Frais d'expédition,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3900,3900,Bestandesänderungen unfertige Erzeugnisse,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3901,3901,Bestandesänderungen fertige Erzeugnisse,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3940,3940,Bestandesänderungen nicht fakturierte Dienstleistungen,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_4000,4000,Materialaufwand Produktion,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4008,4008,Variations de stocks,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4009,4009,Déductions obtenues sur achats,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4070,4070,Frêts à l'achat,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4071,4071,Droits de douanes à l'importation,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4072,4072,Frais de transport à l'achat,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4080,4080,Variations de stocks,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4086,4086,Pertes de matières,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4200,4200,Handelswarenaufwand,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4400,4400,Aufwand für bezogene Dienstleistungen,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4415,4415,"Einkauf Material, Daten und DL",account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4419,4419,Direkt verrechenbarer Aufwand,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4500,4500,Strom,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4510,4510,Gaz,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4520,4520,Heizöl,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4521,4521,"Charbon, briquettes, bois",account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4530,4530,Benzin,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4540,4540,Wasser,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4800,4800,Variation des stocks de marchandises,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4801,4801,Variation des stocks de matières premières,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4900,4900,Escomptes,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4901,4901,Rabais et réductions de prix,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4902,4902,Ristournes,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4903,4903,Commissions obtenues sur achats,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4906,4906,Différences de change,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_5000,5000,Lohnaufwand,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_5400,5400,Löhne,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_5405,5405,Leistungen von Sozialversicherungen,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_5470,5470,"AHV, IV, EO, ALV",account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_5471,5471,Familienzulagen,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_5472,5472,Vorsorgeeinrichtungen,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_5473,5473,Unfallversicherung,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_5474,5474,Krankentaggeldversicherung,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_5479,5479,Quellensteuer,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_5480,5480,Personalbeschaffung,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_5481,5481,Aus- und Weiterbildung,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_5482,5482,Spesenentschädigungen effektiv,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_5483,5483,Spesenentschädigungen pauschal,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_5489,5489,Übriger Personalaufwand,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_5700,5700,Sozialversicherungsaufwand,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_5800,5800,Übriger Personalaufwand,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_5900,5900,Leistungen Dritter,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6000,6000,Mietzinse extern,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6040,6040,Reinigung,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6050,6050,Unterhalt Geschäftsräume,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6100,6100,"URE Werkstatt, meteorologische Messgeräte",account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6101,6101,"URE Mobiliar, Einrichtungen",account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6105,6105,Leasingaufwand mobile Sachanlagen,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6200,6200,"Reparaturen, Servicearbeiten, Reinigung",account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6201,6201,Private Km Entsch. der MA,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6210,6210,Benzin,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6220,6220,Versicherungen,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6230,6230,Verkehrsabgaben,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6260,6260,Fahrzeugleasing und -mieten,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6300,6300,"Elementarvers., Gebäudevers.",account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6310,6310,Betriebshaftpflichtversicherung,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6360,6360,"Abgaben, Gebühren, Bewilligungen",account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6400,6400,Elektrizität,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6420,6420,"Brennstoffe, Heizmaterial",account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6430,6430,Wasser,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6460,6460,Entsorgungsaufwand,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6500,6500,Büromaterial,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6501,6501,"Drucksachen, Fachliteratur",account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6510,6510,"Telefon, Internet",account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6513,6513,Porti,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6520,6520,"Beiträge, Spenden, Trinkgelder",account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6530,6530,Buchführungs- und Beratungsaufwand,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6542,6542,Aufwand Revisionsstelle,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6559,6559,Sonstiger Verwaltungsaufwand,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6570,6570,IT-Hardware,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6571,6571,IT-Software ,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6573,6573,IT Betriebsaufwand ,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6600,6600,Werbeaufwand,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6610,6610,"Werbeinserate, elektr. Medien",account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6620,6620,"Werbedrucksachen, Werbematerial",account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6640,6640,"Reisespesen, Kundenbetreuung",account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6642,6642,Kundengeschenke,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6660,6660,"Werbebeiträge, Sponsoring",account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6700,6700,Sonstiger betrieblicher Aufwand,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6800,6800,Abschreibungen und Wertberichtigungen auf Positionen des Anlagevermögens,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6810,6810,WB Beteiligungen,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6820,6820,Abschr. Mobiliar und Einrichtungen,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6821,6821,"Abschr. Büromasch., Informatik",account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6822,6822,Abschr. Fahrzeuge,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6823,6823,Abschr. meteorologische Messgeräte,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6830,6830,Abschr. Geschäftsliegenschaft Muesmatt,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6900,6900,Bankkreditzinsaufwand,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6902,6902,Hypothekarzinsaufwand,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6940,6940,Bankspesen,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6941,6941,Kursdifferenzen,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6950,6950,Erträge aus Bankguthaben,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_6961,6961,Erträge aus übr. Finanzanlagen (Aktivhyp.),account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_7000,7000,Ertrag Nebenbetrieb,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_7010,7010,Aufwand Nebenbetrieb,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_7500,7500,Ertrag betriebliche Liegenschaft,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_7510,7510,Aufwand betriebliche Liegenschaft,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_8000,8000,Betriebsfremder Aufwand,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_8100,8100,Betriebsfremder Ertrag,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_8500,8500,Ausserordentliche Reservenbildung,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_8501,8501,Ausserordentliche Rückstellungen,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_8504,8504,Ausserordentliche Verluste aus Veräuss. AV,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_8505,8505,Ausserordentliche Verluste von Forderungen,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_8510,8510,Auflösung von Reserven,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_8511,8511,Auflösung von nicht benötigten Rückstellungen,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_8514,8514,Ausserordentliche Gewinne aus Veräuss. von AV,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_8704,8704,Bildung Arbeitgeberbeitragsreerve,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_8709,8709,Übriger periodenfremder Aufwand,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_8714,8714,Auflösung Arbeitgeberbeitragsreserve,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_8719,8719,Übriger periodenfremder Ertrag,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_8900,8900,Kantons- und Gemeindesteuern,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_8901,8901,Direkte Bundessteuern,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_8902,8902,Periodenfremde direkte Steuern,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_999999,999999,Undistributed Profits/Losses,account.data_unaffected_earnings,,,False,False
