"id","applicability","color","name"
"account.account_tag_operating","accounts","0","Operating Activities"
"account.account_tag_financing","accounts","0","Financing Activities"
"account.account_tag_investing","accounts","0","Investing & Extraordinary Activities"
"l10n_fr.account_fr_tag_salaires","accounts","0","Salaires"
"l10n_fr.account_fr_tag_charges_sociales","accounts","0","Charges Sociales"
"l10n_fr.tax_ACH-20_0","taxes","0","ACH-20.0"
"l10n_fr.tax_20_0","taxes","0","20.0"
"l10n_fr.tax_10_0","taxes","0","10.0"
"l10n_fr.tax_5_5","taxes","0","5.5"
"l10n_fr.tax_2_1","taxes","0","2.1"
"l10n_fr.tax_20_0_TTC","taxes","0","20.0-TTC"
"l10n_fr.tax_10_0_TTC","taxes","0","10.0-TTC"
"l10n_fr.tax_8_5_TTC","taxes","0","8.5-TTC"
"l10n_fr.tax_5_5_TTC","taxes","0","5.5-TTC"
"l10n_fr.tax_2_1_TTC","taxes","0","2.1-TTC"
"l10n_fr.tax_ACH-8_5","taxes","0","ACH-8_5"
"l10n_fr.tax_ACH-10_0","taxes","0","ACH-10_0"
"l10n_fr.tax_ACH-5_5","taxes","0","ACH-5.5"
"l10n_fr.tax_ACH-2_1","taxes","0","ACH-2.1"
"l10n_fr.tax_ACH-20_0_TTC","taxes","0","ACH-20.0-TTC"
"l10n_fr.tax_ACH-8_5_TTC","taxes","0","ACH-8_5_TTC"
"l10n_fr.tax_ACH-10_0_TTC","taxes","0","ACH-10.0-TTC"
"l10n_fr.tax_ACH-5_5_TTC","taxes","0","ACH-5.5-TTC"
"l10n_fr.tax_ACH-2_1_TTC","taxes","0","ACH-2.1-TTC"
"l10n_fr.tax_IMMO_20_0","taxes","0","IMMO-20.0"
"l10n_fr.tax_IMMO_8_5","taxes","0","IMMO_8_5"
"l10n_fr.tax_IMMO-10_0","taxes","0","IMMO-10.0"
"l10n_fr.tax_IMMO_5_5","taxes","0","IMMO-5.5"
"l10n_fr.tax_IMMO-2_1","taxes","0","IMMO-2.1"
"l10n_fr.tax_ACH_UE_due_20_0","taxes","0","ACH_UE_due-20.0"
"l10n_fr.tax_ACH_UE_due_8_5","taxes","0","ACH_UE_due-8.5"
"l10n_fr.tax_ACH_UE_due_10_0","taxes","0","ACH_UE_due-10.0"
"l10n_fr.tax_ACH_UE_due_5_5","taxes","0","ACH_UE_due-5.5"
"l10n_fr.tax_ACH_UE_due_2_1","taxes","0","ACH_UE_due-2.1"
"l10n_fr.tax_ACH_UE_ded_20_0","taxes","0","ACH_UE_ded.-20.0"
"l10n_fr.tax_ACH_UE_ded_8_5","taxes","0","ACH_UE_ded.-8.5"
"l10n_fr.tax_ACH_UE_ded_10_0","taxes","0","ACH_UE_ded.-10.0"
"l10n_fr.tax_ACH_UE_ded_5_5","taxes","0","ACH_UE_ded.-5.5"
"l10n_fr.tax_ACH_UE_ded_2_1","taxes","0","ACH_UE_ded.-2.1"
"l10n_fr.tax_EXO_0","taxes","0","EXO-0"
"l10n_fr.tax_EXPORT_0","taxes","0","EXPORT-0"
"l10n_fr.tax_UE_0","taxes","0","UE-0"
"l10n_fr.tax_IMPORT_0","taxes","0","IMPORT-0"
"l10n_fr.tax_8_5","taxes","0","8.5"
"__setup__.account_account_tag_advanced_income","accounts","0","Advanced Income"
"__setup__.account_account_tag_allowance_for_fiscal_depreciation","accounts","0","Allowance For Fiscal Depreciation"
"__setup__.account_account_tag_allowance_on_inventory","accounts","0","Allowance On Inventory"
"__setup__.account_account_tag_bad_debts_losses","accounts","0","Bad Debts Losses"
"__setup__.account_account_tag_bank","accounts","0","Bank"
"__setup__.account_account_tag_bond","accounts","0","Bond"
"__setup__.account_account_tag_commissions_fees","accounts","0","Commissions Fees"
"__setup__.account_account_tag_commissions_fees_intercompany","accounts","0","Commissions Fees Intercompany"
"__setup__.account_account_tag_costs_of_other_goods","accounts","0","Costs Of Other Goods"
"__setup__.account_account_tag_costs_of_other_goods_ico","accounts","0","Costs Of Other Goods ICO"
"__setup__.account_account_tag_costs_of_services_intercompany","accounts","0","Costs Of Services Intercompany"
"__setup__.account_account_tag_costs_of_shipping_ico","accounts","0","Costs Of Shipping ICO"
"__setup__.account_account_tag_costs_of_systems","accounts","0","Costs Of Systems"
"__setup__.account_account_tag_costs_of_tool_hardware","accounts","0","Costs Of Tool Hardware"
"__setup__.account_account_tag_cpa_s_and_audit","accounts","0","Cpa'S And Audit"
"__setup__.account_account_tag_credit_note_not_yet_received","accounts","0","Credit Note Not Yet Received"
"__setup__.account_account_tag_dep_intangible_fixed_assets","accounts","0","Dep Intangible Fixed Assets"
"__setup__.account_account_tag_dep_tangible_fixed_assets","accounts","0","Dep Tangible Fixed Assets"
"__setup__.account_account_tag_depreciation_inventory","accounts","0","Depreciation Inventory"
"__setup__.account_account_tag_depreciation_on_financial_assets","accounts","0","Depreciation On Financial Assets"
"__setup__.account_account_tag_depreciation_on_fixed_assets_exceptional","accounts","0","Depreciation On Fixed Assets (Exceptional)"
"__setup__.account_account_tag_depreciation_on_intangible_assets","accounts","0","Depreciation On Intangible Assets"
"__setup__.account_account_tag_depreciation_on_tangible_assets","accounts","0","Depreciation On Tangible Assets"
"__setup__.account_account_tag_discount_not_yet_received","accounts","0","Discount Not Yet Received"
"__setup__.account_account_tag_discount_to_receivable_not_yet_issued","accounts","0","Discount To Receivable Not Yet Issued"
"__setup__.account_account_tag_equity","accounts","0","Equity"
"__setup__.account_account_tag_exceptional_expenses","accounts","0","Exceptional Expenses"
"__setup__.account_account_tag_exceptional_income","accounts","0","Exceptional Income"
"__setup__.account_account_tag_exchange_difference_assets","accounts","0","Exchange Difference Assets"
"__setup__.account_account_tag_exchange_difference_liabilities","accounts","0","Exchange Difference Liabilities"
"__setup__.account_account_tag_externalization","accounts","0","Externalization"
"__setup__.account_account_tag_fees_intercompany","accounts","0","Fees Intercompany"
"__setup__.account_account_tag_financial_assets","accounts","0","Financial Assets"
"__setup__.account_account_tag_financial_expenses","accounts","0","Financial Expenses"
"__setup__.account_account_tag_financial_income","accounts","0","Financial Income"
"__setup__.account_account_tag_forex_gains","accounts","0","Forex Gains"
"__setup__.account_account_tag_forex_losses","accounts","0","Forex Losses"
"__setup__.account_account_tag_income_tax","accounts","0","Income Tax"
"__setup__.account_account_tag_income_tax_assets","accounts","0","Income Tax Assets"
"__setup__.account_account_tag_income_tax_liabilities","accounts","0","Income Tax Liabilities"
"__setup__.account_account_tag_insurance_and_safety","accounts","0","Insurance And Safety"
"__setup__.account_account_tag_intangible_fixed_assets","accounts","0","Intangible Fixed Assets"
"__setup__.account_account_tag_intangible_fixed_assets_under_construction","accounts","0","Intangible Fixed Assets Under Construction"
"__setup__.account_account_tag_intercompany_assets","accounts","0","Intercompany Assets"
"__setup__.account_account_tag_interests_expenses","accounts","0","Interests Expenses"
"__setup__.account_account_tag_interests_income","accounts","0","Interests Income"
"__setup__.account_account_tag_interests_income_intercompany","accounts","0","Interests Income Intercompany"
"__setup__.account_account_tag_interests_on_loan","accounts","0","Interests On Loan"
"__setup__.account_account_tag_inventory_goods","accounts","0","Inventory Goods"
"__setup__.account_account_tag_inventory_under_construction","accounts","0","Inventory Under Construction"
"__setup__.account_account_tag_invoices_not_yet_received","accounts","0","Invoices Not Yet Received"
"__setup__.account_account_tag_leasing","accounts","0","Leasing"
"__setup__.account_account_tag_loan","accounts","0","Loan"
"__setup__.account_account_tag_maintenance","accounts","0","Maintenance"
"__setup__.account_account_tag_marketing_and_communication","accounts","0","Marketing And Communication"
"__setup__.account_account_tag_net_value_of_tangible_assets","accounts","0","Net Value Of Tangible Assets"
"__setup__.account_account_tag_other_consulting_fees","accounts","0","Other Consulting Fees"
"__setup__.account_account_tag_other_expenses","accounts","0","Other Expenses"
"__setup__.account_account_tag_other_liabilities","accounts","0","Other Liabilities"
"__setup__.account_account_tag_other_operating_income","accounts","0","Other Operating Income"
"__setup__.account_account_tag_other_provision_exceptional","accounts","0","Other Provision (Exceptional)"
"__setup__.account_account_tag_other_taxes_assets","accounts","0","Other Taxes Assets"
"__setup__.account_account_tag_other_taxes_liabilities","accounts","0","Other Taxes Liabilities"
"__setup__.account_account_tag_patents","accounts","0","Patents"
"__setup__.account_account_tag_personnel_liabilities","accounts","0","Personnel Liabilities"
"__setup__.account_account_tag_personnel_taxes","accounts","0","Personnel Taxes"
"__setup__.account_account_tag_prepaid_expenses","accounts","0","Prepaid Expenses"
"__setup__.account_account_tag_prepayments_trade_payable","accounts","0","Prepayments Trade Payable"
"__setup__.account_account_tag_prepayments_trade_receivale_export","accounts","0","Prepayments Trade Receivale Export"
"__setup__.account_account_tag_prepayments_trade_receivale_fr","accounts","0","Prepayments Trade Receivale Fr"
"__setup__.account_account_tag_prepayments_trade_receivale_intra","accounts","0","Prepayments Trade Receivale Intra"
"__setup__.account_account_tag_provision_long_terme_losses","accounts","0","Provision Long Terme Losses"
"__setup__.account_account_tag_provision_on_bad_debts","accounts","0","Provision On Bad Debts"
"__setup__.account_account_tag_provision_on_depreciation_exceptional","accounts","0","Provision On Depreciation (Exceptional)"
"__setup__.account_account_tag_provision_on_difference_exchange","accounts","0","Provision On Difference Exchange"
"__setup__.account_account_tag_provision_on_financial_risk","accounts","0","Provision On Financial Risk"
"__setup__.account_account_tag_provision_on_operating_expenses","accounts","0","Provision On Operating Expenses"
"__setup__.account_account_tag_provision_other_expenses","accounts","0","Provision Other Expenses"
"__setup__.account_account_tag_provision_other_risks","accounts","0","Provision Other Risks"
"__setup__.account_account_tag_purchases_of_raw_materials","accounts","0","Purchases Of Raw Materials"
"__setup__.account_account_tag_receivable_invoices_to_issue","accounts","0","Receivable Invoices To Issue"
"__setup__.account_account_tag_remuneration","accounts","0","Remuneration"
"__setup__.account_account_tag_sales_of_commissionning","accounts","0","Sales Of Commissionning"
"__setup__.account_account_tag_sales_of_engineering","accounts","0","Sales Of Engineering"
"__setup__.account_account_tag_sales_of_installation","accounts","0","Sales Of Installation"
"__setup__.account_account_tag_sales_of_installation_intercompany","accounts","0","Sales Of Installation Intercompany"
"__setup__.account_account_tag_sales_of_land_plant_property_furniture_machine","accounts","0","Sales Of Land Plant  Property  Furniture  Machine"
"__setup__.account_account_tag_sales_of_lease","accounts","0","Sales Of Lease"
"__setup__.account_account_tag_sales_of_licenses","accounts","0","Sales Of Licenses"
"__setup__.account_account_tag_sales_of_other_goods","accounts","0","Sales Of Other Goods"
"__setup__.account_account_tag_sales_of_other_goods_ico","accounts","0","Sales Of Other Goods ICO"
"__setup__.account_account_tag_sales_of_other_services","accounts","0","Sales Of Other Services"
"__setup__.account_account_tag_sales_of_royalties","accounts","0","Sales Of Royalties"
"__setup__.account_account_tag_sales_of_shipping","accounts","0","Sales Of Shipping"
"__setup__.account_account_tag_sales_of_shipping_ico","accounts","0","Sales Of Shipping ICO"
"__setup__.account_account_tag_sales_of_systems","accounts","0","Sales Of Systems"
"__setup__.account_account_tag_sales_of_tool_hardware","accounts","0","Sales Of Tool Hardware"
"__setup__.account_account_tag_sales_of_trials","accounts","0","Sales Of Trials"
"__setup__.account_account_tag_shipping_other","accounts","0","Shipping (Other)"
"__setup__.account_account_tag_shipping_purchases","accounts","0","Shipping (Purchases)"
"__setup__.account_account_tag_shipping_sold","accounts","0","Shipping (Sold)"
"__setup__.account_account_tag_social_liabilities","accounts","0","Social Liabilities"
"__setup__.account_account_tag_tangible_fixed_assets","accounts","0","Tangible Fixed Assets"
"__setup__.account_account_tag_tangible_fixed_assets_under_construction","accounts","0","Tangible Fixed Assets Under Construction"
"__setup__.account_account_tag_taxes","accounts","0","Taxes"
"__setup__.account_account_tag_tool_purchases","accounts","0","Tool Purchases"
"__setup__.account_account_tag_trade_payable","accounts","0","Trade Payable"
"__setup__.account_account_tag_trade_receivable","accounts","0","Trade Receivable"
"__setup__.account_account_tag_transfer_bank_to_bank","accounts","0","Transfer Bank To Bank"
"__setup__.account_account_tag_travel_expenses","accounts","0","Travel Expenses"
"__setup__.account_account_tag_travel_expenses_liabilities","accounts","0","Travel Expenses Liabilities"
"__setup__.account_account_tag_vat_assets","accounts","0","Vat Assets"
"__setup__.account_account_tag_vat_liabilities","accounts","0","Vat Liabilities"
"__setup__.account_account_tag_write_back_on_bad_debts","accounts","0","Write Back On Bad Debts"
"__setup__.account_account_tag_write_back_on_depreciation_exceptional","accounts","0","Write Back On Depreciation (Exceptional)"
"__setup__.account_account_tag_write_back_on_depreciation_of_tangible_assets","accounts","0","Write Back On Depreciation Of Tangible Assets"
"__setup__.account_account_tag_write_back_on_financial_assets","accounts","0","Write Back On Financial Assets"
"__setup__.account_account_tag_write_back_on_financial_provision","accounts","0","Write Back On Financial Provision"
"__setup__.account_account_tag_write_back_on_fiscal_depreciation","accounts","0","Write Back On Fiscal Depreciation"
"__setup__.account_account_tag_write_back_on_inventory","accounts","0","Write Back On Inventory"
"__setup__.account_account_tag_write_back_on_operating_expenses","accounts","0","Write Back On Operating Expenses"
"__setup__.account_account_tag_write_back_other_provision","accounts","0","Write Back Other Provision"
